Total time: 3.529233, First Person Controller
Total time: 3.843106, Top-Down Person Controller
Total time: 6.179276, Top-Down Person Controller
Total time: 5.788446, Top-Down Person Controller
Total time: 13.70084, Top-Down Person Controller
Total time: 30.77971, Top-Down Person Controller
Total time: 4.920774, Top-Down Person Controller
Total time: 22.86691, Top-Down Person Controller
Total time: 2.866359, Top-Down Person Controller
Total time: 7.215671, Top-Down Person Controller
Total time: 28.3335, Top-Down Person Controller
Total time: 24.6549, Top-Down Person Controller
Total time: 19.87354, Top-Down Person Controller
Total time: 9.217434, Top-Down Person Controller
Total time: 3.826491, Top-Down Person Controller
Total time: 10.04827, Top-Down Person Controller
Total time: 3.893165, Top-Down Person Controller
Total time: 9.53422, Top-Down Person Controller
Total time: 10.29392, Top-Down Person Controller
Total time: 6.416265, Top-Down Person Controller
Total time: 12.60725, Top-Down Person Controller
Total time: 9.260369, Top-Down Person Controller
Total time: 12.52513, Top-Down Person Controller
Total time: 13.53544, Top-Down Person Controller
Total time: 20.25659, Top-Down Person Controller
Total time: 93.25349, Top-Down Person Controller
Total time: 44.66637, Top-Down Person Controller
Total time: 28.32899, Top-Down Person Controller
Total time: 8.863167, Top-Down Person Controller
Total time: 6.461, Top-Down Person Controller
Total time: 11.31505, Top-Down Person Controller
Total time: 21.13952, Top-Down Person Controller
Total time: 9.840285, Top-Down Person Controller
Total time: 26.80541, Top-Down Person Controller
Total time: 4.258659, Top-Down Person Controller
Total time: 7.443001, Top-Down Person Controller
Total time: 5.369295, Top-Down Person Controller
Total time: 12.37537, Top-Down Person Controller
Total time: 17.15426, Top-Down Person Controller
Total time: 9.988993, Top-Down Person Controller
Total time: 6.7592, Top-Down Person Controller
Total time: 3.346061, Top-Down Person Controller
Total time: 26.8448, Third Person Controller
Total time: 13.74976, Top-Down Person Controller
Total time: 10.39733, Top-Down Person Controller
Total time: 16.18722, Top-Down Person Controller
Total time: 32.12655, Top-Down Person Controller
Total time: 11.54247, Top-Down Person Controller
Total time: 60.59925, First Person Controller
Total time: 4.826606, First Person Controller
Total time: 19.75453, Top-Down Person Controller
Total time: 8.54908, Top-Down Person Controller
Total time: 3.993289, Top-Down Person Controller
Total time: 11.91952, Top-Down Person Controller
Total time: 9.237126, Top-Down Person Controller
Total time: 16.406, Top-Down Person Controller
Total time: 15.39098, Top-Down Person Controller
Total time: 3.483645, Top-Down Person Controller
Total time: 18.15933, Top-Down Person Controller
Total time: 11.16697, Top-Down Person Controller
Total time: 24.78588, Top-Down Person Controller
Total time: 8.929426, Top-Down Person Controller
Total time: 34.94205, Top-Down Person Controller
Total time: 10.46999, Top-Down Person Controller
Total time: 7.72121, First Person Controller
Total time: 26.06609, First Person Controller
Total time: 14.90283, First Person Controller
Total time: 112.4997, First Person Controller
Total time: 19.98073, First Person Controller
Total time: 14.97089, First Person Controller
Total time: 61.7341, First Person Controller
Total time: 15.83845, First Person Controller
Total time: 30.15085, First Person Controller
Total time: 5.019639, First Person Controller
Total time: 5.565711, First Person Controller
Total time: 6.941864, First Person Controller
Total time: 13.55153, First Person Controller
Total time: 10.68837, First Person Controller
Total time: 10.43804, First Person Controller
Total time: 2.056278, First Person Controller
Total time: 15.63809, First Person Controller
Total time: 54.75428, Top-Down Person Controller
Total time: 21.97495, Top-Down Person Controller
Total time: 20.25841, Top-Down Person Controller
Total time: 8.084379, Top-Down Person Controller
Total time: 21.69178, Top-Down Person Controller
Total time: 22.0338, Top-Down Person Controller
Total time: 15.84302, First Person Controller
Total time: 11.88771, First Person Controller
